drop_id,n_true,Q_true_C,fall_time_true_s,v_fall_true_m_per_s,v_rise_true_m_per_s,radius_true_m
1,7,1.1263e-18,18.26197285546256,2.737929817097713e-05,0.0007579419664100656,5.129693586993809e-07
2,8,1.2872e-18,16.0852433261674,3.108439144259647e-05,0.0008008632624372841,5.465771264234556e-07
3,7,1.1263e-18,14.404160281389503,3.4712193576880087e-05,0.0006471375072135265,5.775921709356139e-07
4,7,1.1263e-18,10.138919733850194,4.931491846519708e-05,0.0005061516135401304,6.884452821252175e-07
5,8,1.2872e-18,13.17079472252924,3.796278133047867e-05,0.0007012893765866353,6.040310724044586e-07
6,8,1.2872e-18,17.2887983557565,2.8920459925054267e-05,0.0008396171667044222,5.272090613362681e-07
7,6,9.653999999999999e-19,10.120527369298102,4.9404540075333735e-05,0.0004262107408139002,6.890705652025796e-07
8,8,1.2872e-18,18.656869048804637,2.67997807505668e-05,0.0008823214846388103,5.075115014990059e-07
9,6,9.653999999999999e-19,9.508566424251157,5.2584162290203205e-05,0.0004062385547563055,7.108987460722873e-07
10,5,8.045e-19,16.29229660590488,3.0689350439322537e-05,0.0004932517542454838,5.430928892360735e-07
